variant,venue_key,query_id,primary_probe,elapsed_s,timed_out,error,synth_outcome,gap_ran,specialists_dispatched,p1_urls,p1_unique_domains,p1_top_domain,p1_top_domain_share,p1_category_count,p1_categories,final_urls,final_unique_domains,final_top_domain,final_top_domain_share,final_category_count,final_categories,wall_brand_count,wall_brands,has_google_maps_pill,has_google_reviews_pill,has_tripadvisor_pill,tokens_total,tokens_prompt,tokens_candidates,tool_call_counts,faithfulness,completeness,specificity,investigative_stance,judge_error
V2_2,bar_leon,q1_openings_closings,True,362.9,False,,ok,False,"location_traffic,market_landscape,marketing_digital,menu_pricing,review_analyst",41,32,wanderlog.com,0.073,4,commercial_listings;consumer_platforms;industry;local_press,39,31,wanderlog.com,0.077,4,commercial_listings;consumer_platforms;industry;local_press,2,TripAdvisor;Wolt,True,True,True,235878,183398,9962,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""find_nearby_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1, ""get_google_reviews"": 2, ""find_tripadvisor_restaurant"": 1, ""get_tripadvisor_reviews"": 1, ""fetch_web_content"": 3}",2,5,3,5,
V2_2,bar_leon,q2_closures_lessons,True,294.81,False,,ok,False,"location_traffic,market_landscape,marketing_digital,menu_pricing,review_analyst",24,15,trojmiasto.pl,0.375,4,commercial_listings;community;consumer_platforms;local_press,23,15,trojmiasto.pl,0.348,4,commercial_listings;community;consumer_platforms;local_press,1,TripAdvisor,True,True,True,199234,148872,10648,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""find_nearby_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1, ""get_google_reviews"": 3, ""find_tripadvisor_restaurant"": 3, ""fetch_web_content"": 1, ""get_tripadvisor_reviews"": 1}",5,5,5,5,
V2_2,bar_leon,q3_price_comparison,True,310.03,False,,ok,False,"guest_intelligence,marketing_digital,menu_pricing,review_analyst",42,20,trojmiasto.pl,0.167,2,community;consumer_platforms,42,20,trojmiasto.pl,0.167,2,community;consumer_platforms,2,TripAdvisor;Uber Eats,True,True,True,195928,155759,9341,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""find_nearby_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1, ""get_google_reviews"": 1, ""find_tripadvisor_restaurant"": 1, ""get_tripadvisor_reviews"": 1}",2,5,4,5,
V2_2,bar_leon,q4_sentiment_themes,False,293.95,False,,ok,False,"guest_intelligence,review_analyst",3,2,google.com,0.667,1,consumer_platforms,3,2,google.com,0.667,1,consumer_platforms,1,TripAdvisor,True,True,True,154804,134966,6201,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""find_nearby_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1, ""get_google_reviews"": 1, ""find_tripadvisor_restaurant"": 1, ""get_tripadvisor_reviews"": 1}",3,5,4,5,
V2_2,bar_leon,q5_thriving_formats,False,209.09,False,,ok,False,"location_traffic,market_landscape,marketing_digital,review_analyst",37,24,trojmiasto.pl,0.216,5,commercial_listings;community;consumer_platforms;industry;local_press,37,24,trojmiasto.pl,0.216,5,commercial_listings;community;consumer_platforms;industry;local_press,1,TripAdvisor,True,True,True,187548,157734,8460,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""find_nearby_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1, ""get_google_reviews"": 1, ""find_tripadvisor_restaurant"": 1, ""get_tripadvisor_reviews"": 1}",5,5,5,5,
V2_2,bar_leon,q6_market_saturation,False,202.83,False,,ok,False,"location_traffic,market_landscape,menu_pricing,revenue_sales",55,40,trojmiasto.pl,0.182,3,community;consumer_platforms;local_press,55,40,trojmiasto.pl,0.182,3,community;consumer_platforms;local_press,1,Glovo,True,False,False,164458,131420,8415,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""find_nearby_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1}",2,5,4,5,
V2_2,bar_leon,q7_market_performance,False,378.78,False,,ok,False,"market_landscape,menu_pricing,revenue_sales,review_analyst",15,8,zjedz.my,0.2,1,consumer_platforms,7,6,google.com,0.286,1,consumer_platforms,2,TripAdvisor;Wolt,True,True,True,314536,260718,11186,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""find_nearby_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1, ""fetch_web_content"": 10, ""get_google_reviews"": 3, ""find_tripadvisor_restaurant"": 3, ""get_tripadvisor_reviews"": 1}",1,5,0,5,
V2_2,bar_leon,q8_wage_benchmarks,False,203.98,False,,ok,False,"dynamic_researcher_1,market_landscape,operations",61,21,jooble.org,0.377,3,commercial_listings;community;local_press,61,21,jooble.org,0.377,3,commercial_listings;community;local_press,0,,True,False,False,73581,35335,7073,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""set_specialist_briefs"": 1}",1,5,1,5,
V2_2,monsun,q1_openings_closings,True,325.81,False,,ok,False,"location_traffic,market_landscape,marketing_digital,menu_pricing,review_analyst",42,18,trojmiasto.pl,0.381,2,community;consumer_platforms,42,18,trojmiasto.pl,0.381,2,community;consumer_platforms,3,TripAdvisor;Uber Eats;Wolt,True,True,True,158929,115538,9314,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""find_nearby_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1, ""find_tripadvisor_restaurant"": 4, ""get_google_reviews"": 2, ""get_tripadvisor_reviews"": 1}",1,5,2,5,
V2_2,monsun,q2_closures_lessons,True,271.2,False,,ok,False,"market_landscape,marketing_digital,menu_pricing,operations,review_analyst",11,2,trojmiasto.pl,0.818,1,community,11,2,trojmiasto.pl,0.818,1,community,0,,True,True,False,170230,126518,10067,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""search_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1, ""get_google_reviews"": 1, ""find_tripadvisor_restaurant"": 1}",1,5,2,5,
