variant,venue_key,query_id,primary_probe,elapsed_s,timed_out,error,synth_outcome,gap_ran,specialists_dispatched,p1_urls,p1_unique_domains,p1_top_domain,p1_top_domain_share,p1_category_count,p1_categories,final_urls,final_unique_domains,final_top_domain,final_top_domain_share,final_category_count,final_categories,wall_brand_count,wall_brands,has_google_maps_pill,has_google_reviews_pill,has_tripadvisor_pill,tokens_total,tokens_prompt,tokens_candidates,tool_call_counts,faithfulness,completeness,specificity,investigative_stance,judge_error
V3,bar_leon,q1_openings_closings,True,159.98,False,,ok,False,"market_landscape,marketing_digital,menu_pricing",41,18,trojmiasto.pl,0.22,3,community;consumer_platforms;local_press,41,18,trojmiasto.pl,0.22,3,community;consumer_platforms;local_press,2,Uber Eats;Wolt,True,False,False,147568,121161,6494,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""find_nearby_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1}",1,5,2,5,
V3,bar_leon,q2_closures_lessons,True,234.72,False,,ok,False,"market_landscape,marketing_digital,menu_pricing",35,17,trojmiasto.pl,0.314,1,community,35,17,trojmiasto.pl,0.314,1,community,0,,True,False,False,126067,95597,6634,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""find_nearby_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1}",2,5,4,4,
V3,bar_leon,q3_price_comparison,True,241.61,False,,ok,False,"marketing_digital,menu_pricing,review_analyst",23,15,finebite.co,0.13,1,consumer_platforms,17,11,finebite.co,0.176,0,,0,,True,True,False,256019,221198,9723,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""find_nearby_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1, ""get_google_reviews"": 1, ""find_tripadvisor_restaurant"": 2, ""fetch_web_content"": 6, ""get_tripadvisor_reviews"": 1}",1,5,2,5,
V3,bar_leon,q4_sentiment_themes,False,188.86,False,,ok,False,"guest_intelligence,review_analyst",3,2,google.com,0.667,1,community,2,1,google.com,1.0,0,,0,,True,True,False,213933,197409,6046,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""find_nearby_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1, ""find_tripadvisor_restaurant"": 5, ""get_google_reviews"": 4, ""fetch_web_content"": 2, ""get_tripadvisor_reviews"": 3}",2,5,2,5,
V3,bar_leon,q5_thriving_formats,False,241.31,False,,ok,False,"guest_intelligence,location_traffic,market_landscape,review_analyst",35,18,trojmiasto.pl,0.314,3,commercial_listings;community;local_press,34,17,trojmiasto.pl,0.324,3,commercial_listings;community;local_press,0,,True,True,False,235437,196832,10121,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""find_nearby_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1, ""fetch_web_content"": 1, ""get_google_reviews"": 6, ""find_tripadvisor_restaurant"": 11, ""get_tripadvisor_reviews"": 1}",1,5,3,5,
V3,bar_leon,q6_market_saturation,False,259.37,False,,ok,False,"guest_intelligence,location_traffic,market_landscape,menu_pricing",48,24,trojmiasto.pl,0.333,3,commercial_listings;community;local_press,43,22,trojmiasto.pl,0.372,3,commercial_listings;community;local_press,0,,True,False,False,175287,135586,9123,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""find_nearby_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1, ""fetch_web_content"": 5}",2,5,3,5,
V3,bar_leon,q7_market_performance,False,303.53,False,,ok,True,"location_traffic,market_landscape,marketing_digital,menu_pricing",28,21,visitgdansk.com,0.143,3,commercial_listings;community;local_press,28,21,visitgdansk.com,0.143,3,commercial_listings;community;local_press,0,,True,False,False,160939,129195,8717,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""find_nearby_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1}",1,5,2,5,
V3,bar_leon,q8_wage_benchmarks,False,141.15,False,,ok,False,"dynamic_researcher_1,operations",34,14,olx.pl,0.294,3,commercial_listings;community;local_press,34,14,olx.pl,0.294,3,commercial_listings;community;local_press,0,,True,False,False,52077,31734,5297,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""set_specialist_briefs"": 1}",2,5,3,5,
V3,monsun,q1_openings_closings,True,181.34,False,,ok,False,"market_landscape,marketing_digital,menu_pricing",11,6,trojmiasto.pl,0.364,3,community;consumer_platforms;industry,11,6,trojmiasto.pl,0.364,3,community;consumer_platforms;industry,2,Uber Eats;Wolt,True,False,False,142473,107280,6139,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""search_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1}",2,5,3,5,
V3,monsun,q2_closures_lessons,True,207.92,False,,ok,False,"location_traffic,market_landscape,marketing_digital,menu_pricing",11,8,trojmiasto.pl,0.364,2,commercial_listings;community,11,8,trojmiasto.pl,0.364,2,commercial_listings;community,0,,True,False,False,142759,105746,7502,"{""transfer_to_agent"": 1, ""get_restaurant_details"": 1, ""find_nearby_restaurants"": 1, ""get_batch_restaurant_details"": 1, ""set_specialist_briefs"": 1}",2,5,3,5,
